"listing_id","built_area","used_area"
"279282","900.0","0.0"
"288099","1010.0",""
"290250","900.0",""
"330945","1200.0","1200.0"
"339263","1010.0","1010.0"
"279284","1070.0","0.0"
"284839","1050.0",""
"300083","1070.0",""
"316220","1017.0","1017.0"
"336977","1070.0","1070.0"
"290255","2000.0","0.0"
"294098","2000.0",""
"296556","0.0","1500.0"
"292892","3203.0","0.0"
"296563","0.0","1600.0"
"916412","600.0","0.0"
"993574","600.0","600.0"
"279295","800.0","407.0"
"282732","800.0","0.0"
"288743","0.0","800.0"
"374351","0.0","1300.0"
"279299","960.0","480.0"
"279299","960.0","480.0"
"279299","960.0","480.0"
"283066","940.0","0.0"
"283066","940.0","0.0"
"283066","940.0","0.0"
"284867","960.0",""
"284867","960.0",""
"288074","940.0",""
"288074","940.0",""
"288074","940.0",""
"288322","960.0","0.0"
"288322","960.0","0.0"
"288322","960.0","0.0"
"290313","940.0","0.0"
"290313","940.0","0.0"
"290313","940.0","0.0"
"296013","930.0",""
"296013","930.0",""
"296013","930.0",""
"296608","930.0","930.0"
"296608","930.0","930.0"
"296608","930.0","930.0"
"297558","930.0",""
"297558","930.0",""
"300071","100.0","930.0"
"300071","100.0","930.0"
"300071","100.0","930.0"
"300176","930.0",""
"300176","930.0",""
"300176","930.0",""
"302171","1001.0","750.0"
"302171","1001.0","750.0"
"302171","1001.0","750.0"
"315771","940.0",""
"315771","940.0",""
"330947","930.0","930.0"
"330947","930.0","930.0"
"355857","0.0","930.0"
"283126","1052.0","0.0"
"279304","727.0","554.0"
"284869","760.0",""
"296618","0.0","720.0"
"339296","0.0","760.0"
"374564","0.0","772.0"
"379614","760.0","0.0"
"385071","554.0","0.0"
"301006","1000.0",""
"327016","0.0","1000.0"
"330774","1000.0","1000.0"
"348066","0.0","0.0"
"358973","0.0","1000.0"
"360278","1000.0","0.0"
"414464","0.0","1000.0"
"374380","1176.0","0.0"
"374380","1176.0","0.0"
"298157","652.0",""
"318085","652.0","0.0"
"279323","685.0","408.0"
"283099","685.0","0.0"
"288014","685.0",""
"289264","0.0","680.0"
"290398","620.0","0.0"
"293523","524.0","425.0"
"293523","524.0","425.0"
"296724","0.0","525.0"
"308642","0.0","355.0"
"337007","680.0","680.0"
"348084","0.0","425.0"
"348084","0.0","425.0"
"359755","0.0","685.0"
"374576","0.0","685.0"
"384806","680.0","0.0"
"389741","0.0","525.0"
"546032","0.0","524.0"
"282773","1094.0","0.0"
"282773","1094.0","0.0"
"328267","1144.0","0.0"
"279326","980.0","980.0"
"284900","900.0",""
"288011","900.0",""
"292384","1035.0","900.0"
"328123","980.0","0.0"
"348077","0.0","900.0"
"279327","760.0","585.0"
"279327","760.0","585.0"
"279327","760.0","585.0"
"284905","585.0",""
"285849","585.0","0.0"
"285849","585.0","0.0"
"290406","585.0","0.0"
"290406","585.0","0.0"
"290406","585.0","0.0"
"290406","585.0","0.0"
"290406","585.0","0.0"
"294181","760.0",""
"294181","760.0",""
"296734","760.0","760.0"
"296734","760.0","760.0"
"296734","760.0","760.0"
"317080","585.0","507.0"
"317080","585.0","507.0"
"326827","760.0","585.0"
"326827","760.0","585.0"
"326827","760.0","585.0"
"326827","760.0","585.0"
"328531","585.0","0.0"
"328531","585.0","0.0"
"328531","585.0","0.0"
"329510","585.0","0.0"
"329510","585.0","0.0"
"329510","585.0","0.0"
"329510","585.0","0.0"
"329510","585.0","0.0"
"330952","0.0","760.0"
"331583","1285.0","1285.0"
"383514","0.0","585.0"
"383514","0.0","585.0"
"389770","0.0","585.0"
"389770","0.0","585.0"
"406417","0.0","585.0"
"279332","1000.0","910.0"
"290425","512.0","0.0"
"293904","750.0","750.0"
"296767","0.0","750.0"
"301804","750.0","750.0"
"350789","0.0","750.0"
"279335","634.0","437.0"
"300389","437.0",""
"316143","695.0","0.0"
"296123","1037.0",""
"296123","1037.0",""
"296123","1037.0",""
"363084","0.0","1643.0"
"279344","1111.0","804.0"
"282980","804.0",""
"284949","804.0",""
"285853","804.0",""
"288605","804.0","0.0"
"289588","804.0",""
"290448","802.0","0.0"
"292446","804.0","435.0"
"300194","700.0","700.0"
"287947","850.0",""
"281655","650.0","0.0"
"296881","0.0","650.0"
"296881","0.0","650.0"
"279354","900.0","835.0"
"279354","900.0","835.0"
"292959","900.0","600.0"
"296929","900.0","900.0"
"298731","900.0",""
"318121","900.0",""
"339816","900.0","0.0"
"339816","900.0","0.0"
"348101","0.0","600.0"
"348101","0.0","600.0"
"387202","900.0","0.0"
"443074","900.0","0.0"
"443074","900.0","0.0"
"479240","900.0","0.0"
"479252","0.0","900.0"
"479252","0.0","900.0"
"279359","1026.0","940.0"
"282939","1200.0","0.0"
"296949","0.0","940.0"
"374597","0.0","1000.0"
"384782","1026.0","0.0"
"279361","800.0","800.0"
"279361","800.0","800.0"
"282656","721.0","0.0"
"288096","800.0",""
"288096","800.0",""
"299373","1200.0",""
"316144","721.0","0.0"
"318101","1200.0","0.0"
"279362","730.0","500.0"
"279362","730.0","500.0"
"279362","730.0","500.0"
"279362","730.0","500.0"
"285858","750.0",""
"289898","722.0",""
"296961","0.0","750.0"
"296961","0.0","750.0"
"316563","750.0","0.0"
"316563","750.0","0.0"
"316563","750.0","0.0"
"316563","750.0","0.0"
"339294","0.0","722.0"
"279363","800.0","650.0"
"285860","818.0",""
"287942","818.0",""
"287942","818.0",""
"290494","818.0","0.0"
"279366","645.0","645.0"
"282525","650.0","0.0"
"284967","650.0",""
"284967","650.0",""
"284967","650.0",""
"296553","0.0","650.0"
"279373","1250.0","1250.0"
"340248","450.0","450.0"
"279380","627.0","380.0"
"283746","570.0","0.0"
"290576","570.0","340.0"
"296011","570.0","0.0"
"316084","400.0",""
"316372","570.0",""
"375977","0.0","570.0"
"375977","0.0","570.0"
"406419","0.0","500.0"
"406419","0.0","500.0"
"285859","450.0","0.0"
"301905","490.0","0.0"
"301988","490.0","0.0"
"288075","660.0",""
"316579","600.0","0.0"
"293642","1037.0","750.0"
"348128","0.0","750.0"
"296614","0.0","750.0"
"279394","546.0","546.0"
"279394","546.0","546.0"
"282619","545.0","0.0"
"284986","600.0",""
"288073","545.0",""
"288073","545.0",""
"293597","545.0","545.0"
"293597","545.0","545.0"
"293597","545.0","545.0"
"293597","545.0","545.0"
"296600","600.0","600.0"
"296600","600.0","600.0"
"296600","600.0","600.0"
"296611","480.0","480.0"
"296611","480.0","480.0"
"342889","711.0","711.0"
"279401","650.0","650.0"
"293974","495.0","0.0"
"296621","0.0","650.0"
"302316","702.0","604.0"
"348127","0.0","0.0"
"285011","650.0",""
"288070","600.0",""
"288791","0.0","480.0"
"290532","480.0","0.0"
"317485","650.0","0.0"
"279410","519.0","460.0"
"285029","675.0",""
"288901","0.0","460.0"
"293623","675.0","460.0"
"336922","465.0","465.0"
"348134","0.0","460.0"
"279416","300.0","250.0"
"301755","300.0","250.0"
"328388","341.0","0.0"
"347169","0.0","300.0"
"279421","680.0","532.0"
"283723","532.0","0.0"
"285889","680.0","0.0"
"290545","660.0","0.0"
"292648","681.0","401.0"
"294213","680.0",""
"300962","532.0",""
"300962","532.0",""
"300962","532.0",""
"307968","680.0","680.0"
"339284","0.0","680.0"
"342896","680.0","680.0"
"348142","0.0","400.86"
"378125","660.0","0.0"
"389797","0.0","537.0"
"397892","660.0","0.0"
"405972","0.0","660.0"
"452468","660.0","0.0"
"659243","660.0","0.0"
"279425","602.0","513.0"
"298432","602.0",""
"318170","602.0",""
"279429","730.0","730.0"
"296654","0.0","800.0"
"384775","817.0","0.0"
"283474","700.0","0.0"
"294217","866.0",""
"299831","447.0","0.0"
"301842","677.0","522.0"
"302083","677.0","522.0"
"279432","370.0","0.0"
"279435","2000.0","2000.0"
"293030","2000.0","0.0"
"293030","2000.0","0.0"
"328198","600.0","0.0"
"328198","600.0","0.0"
"354735","2000.0","0.0"
"354735","2000.0","0.0"
"354735","2000.0","0.0"
"354735","2000.0","0.0"
"354751","2000.0","0.0"
"354751","2000.0","0.0"
"354751","2000.0","0.0"
"354751","2000.0","0.0"
"358975","0.0","800.0"
"378323","0.0","1800.0"
"279436","600.0","0.0"
"285017","500.0",""
"299283","0.0",""
"314388","0.0",""
"318139","0.0","0.0"
"342899","600.0","600.0"
"279438","700.0","400.0"
"279438","700.0","400.0"
"299798","503.0",""
"299798","503.0",""
"318179","503.0","0.0"
"318179","503.0","0.0"
"412071","503.0","0.0"
"279444","600.0","600.0"
"285778","600.0",""
"285778","600.0",""
"285778","600.0",""
"301052","600.0","0.0"
"358990","0.0","600.0"
"409847","600.0","0.0"
"414583","550.0","0.0"
"323621","0.0","0.0"
"279450","445.0","410.0"
"283447","445.0","0.0"
"290256","484.0","0.0"
"290256","484.0","0.0"
"290256","484.0","0.0"
"304536","0.0","410.0"
"342935","484.0","484.0"
"342935","484.0","484.0"
"279451","434.0","434.0"
"279451","434.0","434.0"
"301138","363.0",""
"301138","363.0",""
"301138","363.0",""
"279462","720.0","472.0"
"385323","880.0","0.0"
"279466","386.0","347.0"
"279466","386.0","347.0"
"279466","386.0","347.0"
"290282","340.0","0.0"
"290282","340.0","0.0"
"292788","434.0","390.0"
"292788","434.0","390.0"
"327726","0.0","347.0"
"327726","0.0","347.0"
"327726","0.0","347.0"
"327726","0.0","347.0"
"328309","0.0","0.0"
"340617","425.0","0.0"
"340617","425.0","0.0"
"340618","425.0","0.0"
"340618","425.0","0.0"
"343856","390.0","0.0"
"343856","390.0","0.0"
"348182","0.0","390.0"
"359782","0.0","434.0"
"279467","677.0","677.0"
"279467","677.0","677.0"
"287945","922.0",""
"297623","922.0",""
"318222","922.0","0.0"
"329489","922.0","0.0"
"332755","677.0","0.0"
"389813","0.0","922.0"
"279468","513.0","513.0"
"282922","402.0","0.0"
"285076","402.0",""
"285908","402.0","0.0"
"287970","402.0",""
"288372","0.0","512.0"
"290273","400.0","0.0"
"293546","737.0","512.0"
"294364","592.0",""
"296762","0.0","512.0"
"302210","751.0","512.0"
"304637","512.0","0.0"
"304667","513.0",""
"308513","0.0","512.0"
"323617","402.0","0.0"
"330875","0.0","737.0"
"332760","751.0","512.0"
"336824","512.0","512.0"
"339257","0.0","512.0"
"340239","400.0","400.0"
"342908","512.0","512.0"
"348180","0.0","512.0"
"374642","0.0","592.0"
"384011","0.0","512.0"
"384764","512.0","0.0"
"388252","0.0","512.0"
"389818","0.0","512.0"
"411491","512.0","0.0"
"411523","512.0","0.0"
"528305","0.0","512.0"
"1021083","0.0","512.0"
"287998","450.0",""
"308794","0.0","550.0"
"279473","534.0","384.0"
"292523","384.0","384.0"
"296785","0.0","534.0"
"348181","0.0","384.0"
"389815","0.0","512.0"
"279475","590.0","590.0"
"290260","568.0","0.0"
"328033","0.0","490.0"
"340102","290.0","290.0"
"279477","782.0","678.0"
"283514","769.0","0.0"
